sentence,label,Manual_Predictions
At least one of the development member and transportation member is formed of a resilient material.,0,0
"Therefore, it is possible to manufacture the artificial marble having a beautiful appearance and suppressing generation of radiant heat.",1,1
The acceleration characteristic is adjustable for a case where the work vehicle is started by operating the shift operation device.,1,1
"', 'Such needs cannot be met by directly applying the scheme which uses the acoustic emission sensor as disclosed in PTD 1 and PTD 2.",2,2
"', 'The present invention was made in view of the above-described problem.",2,0
"', 'In view of the above-described respects, the present invention provides a gas separation composite membrane that has excellent gas permeability and also realizes high gas separation selectivity and further attains high membrane-forming competence; a method of producing the same; and a module and a gas separation apparatus using the same.",2,1
"As mentioned above, in the related arts, there is such a problem that in a distributed print system environment, a mechanism for managing a proper print situation in the client computer is insufficient.",2,2
"', 'In the present invention, it is preferable that the work vehicle includes a communication device that makes communication with an outside of the work vehicle, and the set information is information acquired from the communication device.",0,0
"In the present invention, the discharge allowable power (Wout) is modified based on the running mode and operation/stop of the internal combustion engine.",1,1
"', 'For example, JP2000-102402A provides truncated cone-shaped protrusions for supporting spike pins.",2,1
"With the electrochemical energy storage device disclosed herein, since it includes a non-aqueous electrolyte containing, as a solvent, an ionic liquid of which a component is a cation having an alkoxyalkyl group, a reversible redox reaction of the metal halide, which is the electrode active material, proceeds smoothly.",1,1
"By neutralizing the water dissolving the mixed liquid consisting of bis(fluorosulfonyl)imide and fluorosulfate, with an alkaline compound, bis(fluorosulfonyl)imide salt and fluorosulfonic acid can be recovered.",0,0
"1B, drawing the molecule M toward the electrode E2 (or the electrode E4) allows the molecule M to be guided to the lower branching channel 12b.",0,0
"Note that restricting supply of the granular material also includes, in addition to stopping supply of the granular material, reducing the amount of the granular material to supply.",0,0
"Therefore, less stress is put on a newborn in the newborn chamber when the latch mechanism is activated.",1,1
"', 'In addition, all the techniques disclosed in PTLs 1 to 3 should perform quenching and tempering under specific conditions after the completion of hot rolling.",2,0
"According to the method for recovering a tungsten compound of the present disclosure, tungsten can be efficiently recovered from an object containing a tungsten compound, such as carbide tools, by a simple treatment process using a microorganism with reduced environmental load.",1,1
"The thermosetting resin composition according to any one of items 1 to 3, containing epoxy compound (B) having the fluorene skeleton in an amount of 10 to 400 parts by weight based on 100 parts by weight of polyester amide acid (A).",0,0
Note that the concept of the cylinder liner of the present invention includes not only those formed only of a silicon-aluminum alloy but also those formed of a material containing other components in addition to a silicon-aluminum alloy.,0,0
"In other words, in this example, if the main line of sight is set considering convergence, an unintended prism is generated on the main line of sight in the near portion of the spectacle lens.",2,2
"', 'In another aspect, in the vehicular display device 800, an end face (light incidence surface 802a) of the light guide member 802 at the front side of the vehicle is exposed from the instrument panel I in order to allow external light to be incident on the light guide member 802 as illustrated in FIG.",2,
"By switching the valve switch device to the introducing position, exhaust gas emitted from each cylinder of the first cylinder group and the second cylinder group can be cleaned in both the exhaust gas cleaning catalyst and the rear-stage exhaust gas cleaning catalyst, respectively.",0,0
"In more detail, according to the present invention, the user equipment may perform efficient uplink signal transmission in case that separate timing advance is applied to each of individual uplink channels or uplink signals.",1,1
A material obtained by cutting a sheet coil or ingot slab rolled or obtained inside or outside the country may be used as the sheet material that is produced using a special material.,1,0
"In this case, the green compact is sintered at a temperature that is significantly higher than the melting point (1,083° C.) of copper.",2,0
"Further, this disclosure proposes a joint symbol-level random network coding and hierarchical modulation scheme in a relay communication (denoted as “Co-NC”).",0,0
"According to the aspect of the present invention, a photodiode array module in which a reduction in the number of photodiodes PD per module is suppressed and a method of manufacturing the same can be provided.",1,1
"', 'Preferably, the control device controls the engine based on the updated crank angle.",0,0
"', 'Also, in the case of the slide cover where the pair of second guide element  passages is configured so that the intervals between the facing outer and inner wall portions become narrower toward the tip end portion-side in the engaging direction relative to the disengaging direction-side, it is possible to easily guide each element row into the slider while making it possible for the cloth to be jammed.",1,1
"', 'The method for detecting hydrogen sulfide of the present invention is a method for detecting hydrogen sulfide in the sulfide-based solid electrolyte cell, the sulfide-based solid electrolyte cell pack, or the vehicle system, the method comprising the steps of:",0,0
An embodiment of the present invention provides a method for transmitting emergency data without latency and with high reliability by applying a HARQ process to the emergency data or the like.,2,1
"In other words, a casing part of the physical quantity detection device can also be miniaturized along the miniaturization of the printed circuit board, resulting in securing the space of the engine room and reducing the pressure loss in the intake pipe which have been the problems.",1,1
"', 'The present invention was conceived in view of the above-described problem and has an object to provide a semiconductor device which is capable of reducing the leakage current even when the area of a transistor is decreased, and a method of manufacturing the same.",2,1
"', 'Further, performance of the refrigerant system to deal indoor air-conditioning load amount may be varied by only changing flowing refrigerant amount on the refrigerant cycle without changing operating rate of the compressor, thereby improving the whole operating efficiency of the refrigerant system.",1,1
"', 'According to the third aspect of the present invention, an air amount that flows out from inside the cylinder toward the catalyst during the course of the operating state of the valve transitioning to a valve stopped state can be estimated and acquired in a simple manner based on a value of the lift amount and/or the working angle of the valve that is acquired by the valve operation amount acquisition means.",1,0
"The method includes receiving information on whether a cell supports a relay functionality or not, and performing a cell selection or a cell reselection according to the information.",0,0
"', '(12) The polyethylene porous film described in (10) or (11), wherein a tensile strength measured at room temperature (20° C.) is 10 MPa or more.",0,0
"Therefore, as compared with the conventional coloring composition, it is capable of providing an excellent coloring composition not having problems of deterioration of color concentration, color mixture, and the like.",1,1
"', 'However, in optical networks using the flexible frequency grid such as the above-mentioned elastic optical network, minimum required bandwidths are allocated depending on optical path lengths and traffic amount.",2,2
The portion of the water absorber is exposed.,1,0
"Also, it is possible to keep the arc tube from being damaged early on due to the devitrification or the like, and furthermore increase life.",1,1
"', 'The invention includes items as described in items 1 to 14 as described below and so forth.",0,0
"', 'Moreover, in order to achieve the above object, a method for controlling a display device according to an aspect of the present disclosure is a method for controlling a display device including a plurality of pixels each of which includes an EL element and a drive transistor which controls a current flowing through the EL element, the method including: applying, to each of the plurality of pixels, a compensation voltage for compensating a threshold voltage of the drive transistor, in each of compensation voltage application periods included in a period other than a period in which a video signal voltage is applied; and adjusting a length of, among the compensation voltage application periods, a preceding compensation voltage application period immediately before the video signal voltage is applied.",0,0
"', 'Also, a working machine according to a seventh aspect of the present invention is provided with a control device that can change a setting of the working machine, and provided with: content receiving means adapted to receive a setting changed on a mobile terminal side; and content storage means adapted to store the setting changed on the mobile terminal side as a new setting.",0,0
"Because of heating in the ordinary atmosphere temperature control type heating furnace at a temperature in the tempering region, carbides of alloy element(s) precipitate finely owing to the tempering effect.",0,0
"', 'In the first aspect, in the step (C), the mobile station can update the first key for generating the certain key used in the communication between the handover source radio base station and the mobile station, to the first key for generating the certain key used in the communication between the handover target radio base station and the mobile station, based on a parameter included in the handover command signal.",0,0
"However, to adjust the color tones of the color materials to desired color tones, it is needed to use the color materials in combination with other color materials.",2,0
"', 'The inorganic fiber-formed article according to the present invention exhibits high delamination strength because of the dense portions of the needle marks A and the needle marks B and also exhibits high surface pressure because of the non-dense portions.",1,1
"Accordingly, the present invention is directed to a control method of a laundry treatment apparatus.",2,0
"Accordingly, the flow volume can be measured with a simple configuration by using a fluctuation in a signal modulated by one frequency.",0,0
"', 'According to the invention of the fifth aspect, it involves effect not to work tension to the second deformed part.",1,1
